Title,Views,Views_Count,Published,URL,Duration_Text,Duration_Seconds,Category
"""โรงเรียนสยองขวัญ"" ประสบการณ์หลอนในสามโรงเรียนชื่อดัง | หลอนตามสั่ง EP.445 | nuenglc",การดู 2.5 แสน ครั้ง,250000,2025-08-23 22:44:00.079988,https://www.youtube.com/watch?v=HjM3av_RUlo,34:56,2096,เรื่องจริง
"""อาถรรพ์บ้านเช่าผี"" เจ้าของบ้านนิมนต์พระมาทำบุญให้ก่อนวันเข้าอยู่  | หลอนตามสั่ง EP.444 | nuenglc",การดู 6.6 แสน ครั้ง,660000,2025-07-24 22:44:00.079992,https://www.youtube.com/watch?v=C2t1tfhAQ3Q,1:10:31,4231,เรื่องผี
"""พิธีลงขอน"" หนูเห็นเขาเรียกผีตายโหงมาเข้าร่าง  | หลอนตามสั่ง EP.443 | nuenglc",การดู 2.1 แสน ครั้ง,210000,2025-07-24 22:44:00.079997,https://www.youtube.com/watch?v=8vsLGL66LCs,29:46,1786,เรื่องเล่า
"""มันทิ้งกูมาเกิด"" หนีกันมา15ปีสุดท้ายมาเจอกัน | หลอนตามสั่ง EP.442 | nuenglc",การดู 2 แสน ครั้ง,200000,2025-07-24 22:44:00.080001,https://www.youtube.com/watch?v=B0yRtlAgm20,26:12,1572,เรื่องเล่า
"""ลองฟังเรื่องผีก่อนนอน"" ห้าเรื่องสยองขวัญส่งคุณเข้านอน | หลอนตามสั่ง EP.441 | nuenglc",การดู 4.5 แสน ครั้ง,450000,2025-07-24 22:44:00.080005,https://www.youtube.com/watch?v=0UtZ619SdMk,51:54,3114,เรื่องเล่า
"""เปรตนางบัว"" พระในวัดเริ่มอยู่ไม่ได้จนต้องตั้งกฎพิเศษขึ้นมา | หลอนตามสั่ง EP.440 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-07-24 22:44:00.080009,https://www.youtube.com/watch?v=W1ev-TrG6Xk,34:35,2075,เรื่องผี
"""ผีหัวขาดบึงกาฬ"" ถนนทางโค้งหน้าวัดนั้นผีดุมาก! | หลอนตามสั่ง EP.439 | nuenglc",การดู 3 แสน ครั้ง,300000,2025-07-24 22:44:00.080014,https://www.youtube.com/watch?v=rsA_-HeejCE,25:42,1542,เรื่องผี
"""บวงสรวงสยอง"" ใครมีของอย่าลองดีที่มหาลัยชื่อดัง!!! | หลอนตามสั่ง EP.438 | nuenglc",การดู 1.6 แสน ครั้ง,160000,2025-07-24 22:44:00.080018,https://www.youtube.com/watch?v=EWt_n3mcVwA,23:31,1411,เรื่องเล่า
"""ตามมาจากงานศพ"" ถ้ารู้ว่าตายโหงจะได้ไม่ไปงาน | หลอนตามสั่ง EP.437 | nuenglc",การดู 2.6 แสน ครั้ง,260000,2025-07-24 22:44:00.080022,https://www.youtube.com/watch?v=ouIQmx5hwIw,28:28,1708,เรื่องเล่า
"""ญินในป่าต้องห้าม"" เขาห้ามเด็กเข้าไปในป่านั้น (จ.พังงา) | หลอนตามสั่ง EP.436 | nuenglc",การดู 4 แสน ครั้ง,400000,2025-07-24 22:44:00.080027,https://www.youtube.com/watch?v=mLMOMPp4ItU,27:38,1658,เรื่องเล่า
"""มอญซ่อนผี"" ห้าเรื่องสยองขวัญที่ห้ามฟังคนเดียว | หลอนตามสั่ง EP.435 | nuenglc",การดู 3.6 แสน ครั้ง,360000,2025-06-24 22:44:00.080031,https://www.youtube.com/watch?v=8BYeT5LvMgo,48:01,2881,เรื่องเล่า
"""ดวงหนูครูขอนะ"" คิดว่าครูดูดวงแม่นที่ไหนได้แกเลี้ยงผีไว้คอยบอกดวง | หลอนตามสั่ง EP.434 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2025-06-24 22:44:00.080035,https://www.youtube.com/watch?v=a34q2SxIC54,31:15,1875,เรื่องเล่า
"""ห้อง813"" เปิดห้องอยู่กับผีที่โคราช | หลอนตามสั่ง EP.433 | nuenglc",การดู 3.5 แสน ครั้ง,350000,2025-06-24 22:44:00.080040,https://www.youtube.com/watch?v=DYyuLEfOJys,37:39,2259,เรื่องเล่า
"""ธนบุรีผีดุ"" ตำนานสยองผีข้างวัดชื่อดังย่านฝั่งธน | หลอนตามสั่ง EP.432 | nuenglc",การดู 2.9 แสน ครั้ง,290000,2025-06-24 22:44:00.080044,https://www.youtube.com/watch?v=DTM-ae_0hGQ,26:20,1580,เรื่องผี
"""เรื่องเล่าจากพ่อ"" ที่เคยเล่าให้ฟังว่าถนนลงใต้มีคนตายทั้งเส้น | หลอนตามสั่ง EP.431 | nuenglc",การดู 2.8 แสน ครั้ง,280000,2025-06-24 22:44:00.080048,https://www.youtube.com/watch?v=6hsVS73FHKY,34:01,2041,เรื่องเล่า
"""กฎ10ข้อในการเล่นเกมส์มรณะจากเบอร์ปริศนา"" | กฎหลอน | nuenglc",การดู 2.3 แสน ครั้ง,229999,2025-06-24 22:44:00.080052,https://www.youtube.com/watch?v=3EtXO7zC3r0,1:13:31,4411,นิยาย
"""ร่างที่ถูกเลือก"" อาการคล้ายกับผีเข้าแต่มันไม่ใช่ | หลอนตามสั่ง EP.430 | nuenglc",การดู 1.8 แสน ครั้ง,180000,2025-06-24 22:44:00.080057,https://www.youtube.com/watch?v=DmZiGh8UMsY,28:17,1697,เรื่องเล่า
"""ตำนานหญิงชุดแดงที่ปัตตานี"" หนึ่งในห้าเรื่องผีจากประสบการณ์สุดสยอง | หลอนตามสั่ง EP.429 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-06-24 22:44:00.080061,https://www.youtube.com/watch?v=gLeWIP5uKVc,38:48,2328,ตำนาน / ประวัติศาสตร์
"""ศาลบ้านเพื่อน"" ฉลองปีใหม่แต่เกือบได้ชีวิตใหม่กัน | หลอนตามสั่ง EP.428 | nuenglc",การดู 1.8 แสน ครั้ง,180000,2025-06-24 22:44:00.080065,https://www.youtube.com/watch?v=H4Iom0UQle8,24:17,1457,เรื่องเล่า
"""สุกก็กิ๋นบ่าสุกก็กิ๋น"" ถ้าปู่ไม่รอดเรื่องนี้ก็คงไม่ได้เล่า จ.พะเยา | หลอนตามสั่ง EP.427 | nuenglc",การดู 6.4 แสน ครั้ง,640000,2025-05-25 22:44:00.080069,https://www.youtube.com/watch?v=JonLA-l_YIw,48:30,2910,เรื่องเล่า
"""ไปสงบจบสยอง"" ตามหามาหลายวันสุดท้ายกลายเป็น.... | หลอนตามสั่ง EP.426 | nuenglc",การดู 2.3 แสน ครั้ง,229999,2025-05-25 22:44:00.080087,https://www.youtube.com/watch?v=8Wv48Q9rM24,26:19,1579,เรื่องเล่า
"""รอดมาได้ก็บุญแล้ว"" ชอบขี่รถไปซื้อของตอนกลางคืนต้องฟัง จ.สุราษฯ | หลอนตามสั่ง EP.425 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2025-05-25 22:44:00.080091,https://www.youtube.com/watch?v=t8ATXCB5UGI,28:42,1722,เรื่องเล่า
"""สามวันสองคืน"" ในค่ายลูกเสือสยองขวัญประวัติหลอน | หลอนตามสั่ง EP.424 | nuenglc",การดู 2.4 แสน ครั้ง,240000,2025-05-25 22:44:00.080096,https://www.youtube.com/watch?v=OrOSlkPIQZQ,26:14,1574,ตำนาน / ประวัติศาสตร์
"""สี่เรื่องผี"" ประสบการณ์สยองที่ห้ามฟังคนเดียว | หลอนตามสั่ง EP.423 | nuenglc",การดู 3.3 แสน ครั้ง,330000,2025-05-25 22:44:00.080100,https://www.youtube.com/watch?v=G8_ozcQfyDA,36:13,2173,เรื่องจริง
"""ไซต์งานที่สร้างไม่เสร็จ"" ตลอดหลายปีมีแต่คนงานเจอผีจนหนีไปหมด | หลอนตามสั่ง EP.422 | nuenglc",การดู 6.2 แสน ครั้ง,620000,2025-05-25 22:44:00.080104,https://www.youtube.com/watch?v=mo1nXIQXr_E,48:20,2900,เรื่องเล่า
"""หลอนละเมอ"" ตื่นขึ้นมาในทุกคืนโดยไม่รู้ตัว | หลอนตามสั่ง EP.421 | nuenglc",การดู 1.7 แสน ครั้ง,170000,2025-05-25 22:44:00.080108,https://www.youtube.com/watch?v=BETupvcl8Yk,30:15,1815,เรื่องเล่า
"""ของผีที่ต่างแดน"" ย้ายไปอยู่เยอรมันคุณป้ายังเอาผีไปด้วย | หลอนตามสั่ง EP.420 | nuenglc",การดู 1.3 แสน ครั้ง,130000,2025-05-25 22:44:00.080112,https://www.youtube.com/watch?v=CMOXJHbfFE8,23:50,1430,เรื่องเล่า
"""เล่นซ่อนผี"" แอบให้ดีๆเพราะผีจะมาเล่นด้วย | หลอนตามสั่ง EP.419 | nuenglc",การดู 1.7 แสน ครั้ง,170000,2025-04-25 22:44:00.080117,https://www.youtube.com/watch?v=pJqYis0qG4g,27:11,1631,เรื่องเล่า
"""เขื่อนกินคน"" ใต้น้ำจะมีตอไม้พันผ้าสามสีอยู่ดูให้ดี!! | หลอนตามสั่ง EP.418 | nuenglc",การดู 4.1 แสน ครั้ง,409999,2025-04-25 22:44:00.080121,https://www.youtube.com/watch?v=ew-CpH4TLwM,25:20,1520,เรื่องเล่า
"""โดนผีเลียหน้า"" ประสบการณ์สยองตอนไปฝึกสอนที่โรงเรียนชื่อดัง | หลอนตามสั่ง EP.417 | nuenglc",การดู 1.6 แสน ครั้ง,160000,2025-04-25 22:44:00.080125,https://www.youtube.com/watch?v=x2yjYyYIGXY,21:48,1308,เรื่องจริง
"""เสื้อกระสอบและความลับโรงหนัง"" ห้าเรื่องผีที่หาฟังที่ไหนไม่ได้แล้ว | หลอนตามสั่ง EP.416 | nuenglc",การดู 2.9 แสน ครั้ง,290000,2025-04-25 22:44:00.080129,https://www.youtube.com/watch?v=dUKdk36XbpI,50:33,3033,เรื่องเล่า
"""บ้านผิดฮวงจุ้ย"" ยิ่งวันพระใหญ่ในบ้านยิ่งน่ากลัว | หลอนตามสั่ง EP.415 | nuenglc",การดู 2.5 แสน ครั้ง,250000,2025-04-25 22:44:00.080134,https://www.youtube.com/watch?v=SZIcdjSliq8,28:08,1688,เรื่องเล่า
"""ความลับของแบมัง"" เรื่องหลอนในบ้านอิสลามสามจังหวัดชายแดนใต้ | หลอนตามสั่ง EP.414 | nuenglc",การดู 4.3 แสน ครั้ง,430000,2025-04-25 22:44:00.080138,https://www.youtube.com/watch?v=AyGVhR7w8DU,25:05,1505,ตำนาน / ประวัติศาสตร์
"""แฟนเก่า"" ถึงฉันตายก็จะเป็นผีมาหลอก | หลอนตามสั่ง EP.413 | nuenglc",การดู 2.5 แสน ครั้ง,250000,2025-04-25 22:44:00.080142,https://www.youtube.com/watch?v=bUL6mif24AA,42:38,2558,เรื่องเล่า
"""ถนนพระรามสอง"" จุดเริ่มต้นของความสยองบนถนนเส้นนี้ | สาระครับดี EP.75 | nuenglc",การดู 4.4 แสน ครั้ง,440000,2025-04-25 22:44:00.080146,https://www.youtube.com/watch?v=1eooEMEdaAs,19:35,1175,อื่น ๆ
"""ป่าจิตหลุด"" มันซ่อนตัวอยู่ในป่านั้นมานานแล้ว | หลอนตามสั่ง EP.412 | nuenglc",การดู 5.9 แสน ครั้ง,590000,2025-04-25 22:44:00.080151,https://www.youtube.com/watch?v=EkW1UHip1wA,30:24,1824,เรื่องเล่า
"""อันอื่อเอื่อน"" ก่อนตายจำได้หมดใครทำอะไรกับฉันไว้ | หลอนตามสั่ง EP.411 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2025-03-26 22:44:00.080155,https://www.youtube.com/watch?v=XX7TgSQFSLA,28:46,1726,เรื่องเล่า
"""ข่าวลือกระสือ"" ถ้าไม่เห็นกับตาในคืนนั้นก็คงไม่เชื่อว่ามีจริง | หลอนตามสั่ง EP.410 | nuenglc",การดู 4.4 แสน ครั้ง,440000,2025-03-26 22:44:00.080160,https://www.youtube.com/watch?v=kMoKGfZ54WM,27:53,1673,เรื่องผี
"""วัดวาอารามผี"" คืนศีลดับในวัดป่าต่างจังหวัด | หลอนตามสั่ง EP.409 | nuenglc",การดู 4.1 แสน ครั้ง,409999,2025-03-26 22:44:00.080164,https://www.youtube.com/watch?v=UT66beRbP5M,36:52,2212,ตำนาน / ประวัติศาสตร์
"""เกาะแก้วพิศดาร"" หรือว่าที่นี้คือเกาะในตำนานของจริง | หลอนตามสั่งพาไปหลอน | nuenglc",การดู 1.5 แสน ครั้ง,150000,2025-03-26 22:44:00.080168,https://www.youtube.com/watch?v=7xwQ3nlqdM8,16:49,1009,ตำนาน / ประวัติศาสตร์
"""ศพลุงเขียว"" บอกแล้วไม่ฟังสุดท้ายวิญญาณเฮี้ยน | หลอนตามสั่ง EP.408 | nuenglc",การดู 3 แสน ครั้ง,300000,2025-03-26 22:44:00.080172,https://www.youtube.com/watch?v=hKt3w1M3Vmw,30:25,1825,เรื่องเล่า
